"Módulo","👑 Super Admin","🛠️ Admin","✏️ Curador","👁️ Analista"
"1. Gestão de Prompts","✅","✅","❌","👁️ ver"
"2. Controle de Filtros do App","✅","✅","❌","👁️ ver"
"3. Motor de Ranqueamento (KidScore)","✅","✅","❌","👁️ ver"
"4. Construtor de Critérios Customizados","✅","✅","❌","❌"
"5. Fila de Curadoria (Aprovar/Rejeitar)","✅","✅","✅","👁️ ver"
"6. Gestão Visual (Galeria de Fotos)","✅","✅","✅","❌"
"7. Controle de Operação e Custos da IA","✅","✅","Rodar busca","👁️ ver"
"8. Caixa de Entrada da Comunidade","✅","✅","✅","👁️ ver"
"9. Gestão de Cidades (City Management)","✅","✅","❌","👁️ ver"
"10. Gestão de Provedores de IA","✅","❌","❌","❌"
"11. Gestão de Usuários (RBAC)","✅","❌","❌","❌"
"12. Parcerias e Listagens Patrocinadas","✅","✅","👁️ ver","👁️ ver"